image;class
04 dataset/test/0.jpg;1
04 dataset/test/1.jpg;1
04 dataset/test/2.jpg;1
04 dataset/test/3.jpg;1
04 dataset/test/4.jpg;1
04 dataset/test/5.jpg;1
04 dataset/test/6.jpg;1
04 dataset/test/7.jpg;0
04 dataset/test/8.jpg;0
04 dataset/test/9.jpg;0
04 dataset/test/10.jpg;0
04 dataset/test/11.jpg;0
04 dataset/test/12.jpg;2
04 dataset/test/13.jpg;1
04 dataset/test/14.jpg;1
04 dataset/test/15.jpg;1
04 dataset/test/16.jpg;1
04 dataset/test/17.jpg;1
04 dataset/test/18.jpg;1
04 dataset/test/19.jpg;1
04 dataset/test/20.jpg;1
04 dataset/test/21.jpg;1
04 dataset/test/22.jpg;1
04 dataset/test/23.jpg;1
04 dataset/test/24.jpg;1
04 dataset/test/25.jpg;1
04 dataset/test/26.jpg;1
04 dataset/test/27.jpg;0
04 dataset/test/28.jpg;0
04 dataset/test/29.jpg;0
04 dataset/test/30.jpg;0
04 dataset/test/31.jpg;0
04 dataset/test/32.jpg;0
04 dataset/test/33.jpg;1
04 dataset/test/34.jpg;0
04 dataset/test/35.jpg;0
04 dataset/test/36.jpg;0
04 dataset/test/37.jpg;0
04 dataset/test/38.jpg;0
04 dataset/test/39.jpg;0
04 dataset/test/40.jpg;0
04 dataset/test/41.jpg;0
04 dataset/test/42.jpg;0
04 dataset/test/43.jpg;0
04 dataset/test/44.jpg;1
04 dataset/test/45.jpg;1
04 dataset/test/46.jpg;1
04 dataset/test/47.jpg;1
04 dataset/test/48.jpg;1
04 dataset/test/49.jpg;1
04 dataset/test/50.jpg;1
04 dataset/test/51.jpg;1
04 dataset/test/52.jpg;0
04 dataset/test/53.jpg;0
04 dataset/test/54.jpg;0
04 dataset/test/55.jpg;0
04 dataset/test/56.jpg;1
04 dataset/test/57.jpg;1
04 dataset/test/58.jpg;0
04 dataset/test/59.jpg;0
04 dataset/test/60.jpg;1
04 dataset/test/61.jpg;0
04 dataset/test/62.jpg;0
04 dataset/test/63.jpg;1
04 dataset/test/64.jpg;0
04 dataset/test/65.jpg;0
04 dataset/test/66.jpg;0
04 dataset/test/67.jpg;1
04 dataset/test/68.jpg;0
04 dataset/test/69.jpg;0
04 dataset/test/70.jpg;1
04 dataset/test/71.jpg;0
04 dataset/test/72.jpg;0
04 dataset/test/73.jpg;1
04 dataset/test/74.jpg;2
04 dataset/test/75.jpg;1
04 dataset/test/76.jpg;2
04 dataset/test/77.jpg;2
04 dataset/test/78.jpg;2
04 dataset/test/79.jpg;1
04 dataset/test/80.jpg;2
04 dataset/test/81.jpg;2
04 dataset/test/82.jpg;2
04 dataset/test/83.jpg;2
04 dataset/test/84.jpg;2
04 dataset/test/85.jpg;1
04 dataset/test/86.jpg;3
04 dataset/test/87.jpg;3
04 dataset/test/88.jpg;3
04 dataset/test/89.jpg;3
04 dataset/test/90.jpg;1
04 dataset/test/91.jpg;3
04 dataset/test/92.jpg;3
04 dataset/test/93.jpg;3
04 dataset/test/94.jpg;1
04 dataset/test/95.jpg;2
04 dataset/test/96.jpg;3
04 dataset/test/97.jpg;3
04 dataset/test/98.jpg;1
04 dataset/test/99.jpg;3
04 dataset/test/100.jpg;3
04 dataset/test/101.jpg;2
04 dataset/test/102.jpg;2
04 dataset/test/103.jpg;3
04 dataset/test/104.jpg;3
04 dataset/test/105.jpg;3
04 dataset/test/106.jpg;2
04 dataset/test/107.jpg;3
04 dataset/test/108.jpg;3
04 dataset/test/109.jpg;1
04 dataset/test/110.jpg;2
04 dataset/test/111.jpg;3
04 dataset/test/112.jpg;3
04 dataset/test/113.jpg;3
04 dataset/test/114.jpg;1
04 dataset/test/115.jpg;1
04 dataset/test/116.jpg;1
04 dataset/test/117.jpg;1
04 dataset/test/118.jpg;1
04 dataset/test/119.jpg;1
04 dataset/test/120.jpg;1
04 dataset/test/121.jpg;1
04 dataset/test/122.jpg;1
04 dataset/test/123.jpg;1
04 dataset/test/124.jpg;1
04 dataset/test/125.jpg;1
04 dataset/test/126.jpg;1
04 dataset/test/127.jpg;3
04 dataset/test/128.jpg;3
04 dataset/test/129.jpg;1
04 dataset/test/130.jpg;0
04 dataset/test/131.jpg;0
04 dataset/test/132.jpg;3
04 dataset/test/133.jpg;3
04 dataset/test/134.jpg;0
04 dataset/test/135.jpg;0
04 dataset/test/136.jpg;2
04 dataset/test/137.jpg;2
04 dataset/test/138.jpg;0
04 dataset/test/139.jpg;0
04 dataset/test/140.jpg;3
04 dataset/test/141.jpg;3
04 dataset/test/142.jpg;0
04 dataset/test/143.jpg;2
04 dataset/test/144.jpg;2
04 dataset/test/145.jpg;0
04 dataset/test/146.jpg;0
04 dataset/test/147.jpg;2
04 dataset/test/148.jpg;2
04 dataset/test/149.jpg;3
04 dataset/test/150.jpg;3
04 dataset/test/151.jpg;2
04 dataset/test/152.jpg;0
04 dataset/test/153.jpg;0
04 dataset/test/154.jpg;1
04 dataset/test/155.jpg;2
04 dataset/test/156.jpg;2
04 dataset/test/157.jpg;1
04 dataset/test/158.jpg;0
